RX Date/Time,MAX30100/1 raw,MAX30100/2 filter,MAX30100/3 restrurt,MAX30100/4 BPM
0.000000000,44981,247.40,137.16,0.0
0.000292500,44999,2093.31,1023.35,0.0
0.000311200,44976,8837.69,3739.01,0.0
0.000323900,44950,25450.02,9209.89,0.0
0.000336000,44948,57410.35,17719.13,0.0
0.027467600,44939,109663.48,28969.79,0.0
0.027486500,44961,185996.25,42319.77,0.0
0.027500900,44966,288730.06,56956.59,0.0
0.027515000,44979,418639.94,72022.72,0.0
0.027529600,44966,575029.25,86701.97,0.0
0.027542400,44953,755904.06,100275.05,0.0
0.027555500,44963,958204.81,112151.09,0.0
0.027568500,44972,1178064.19,121882.09,0.0
0.072005400,44973,1411068.13,129165.08,0.0
0.072028900,44976,1652502.87,133834.26,0.0
0.437368500,44949,1897576.61,135846.54,0.0
0.437392300,44979,2141609.31,135263.97,0.0
0.437407600,44967,2380188.47,132234.85,0.0
0.437422700,44970,2609290.79,126974.84,0.0
0.438939300,44953,2825370.19,119748.37,0.0
0.438960200,44958,3025414.68,110851.37,0.0
0.438976100,44969,3206976.09,100596.10,0.0
0.438992500,44954,3368176.77,89298.74,0.0
0.439006200,44980,3507697.13,77268.96,0.0
0.439020300,44958,3624747.27,64801.13,0.0
0.439034200,44977,3719026.74,52167.24,0.0
0.439048300,44963,3790675.59,39611.96,0.0
0.439062100,44977,3840220.03,27349.54,0.0
0.439076100,44974,3868515.30,15562.66,0.0
0.439089500,44957,3876688.09,4402.23,0.0
0.439103500,44994,3866079.94,-6012.47,0.0
0.439117100,44972,3838193.65,-15592.69,0.0
0.439130500,44988,3794643.71,-24277.39,0.0
0.439144000,44983,3737110.85,-32030.28,0.0
0.439158500,44999,3667301.53,-38837.00,0.0
0.439172700,44984,3586912.73,-44726.06,0.0
0.439188800,44979,3497601.83,-49824.20,0.0
0.439207700,44986,3400961.37,-54351.98,0.0
0.439226700,44990,3298499.12,-58513.38,0.0
0.439246100,44998,3191623.30,-62410.44,0.0
0.439264600,44997,3081632.29,-66052.72,0.0
0.439282800,44991,2969707.85,-69395.46,0.0
0.439301100,44978,2856911.16,-72367.43,0.0
0.439319300,44985,2744181.61,-74890.86,0.0
0.439338000,45014,2632338.45,-76894.37,0.0
0.439356600,44987,2522085.30,-78320.28,0.0
0.439374800,45008,2414016.05,-79129.02,0.0
0.439393800,45020,2308621.59,-79301.49,0.0
0.439412300,45016,2206297.38,-78838.90,0.0
0.439430600,45036,2107351.80,-77761.12,0.0
0.439828300,45018,2012014.46,-76104.37,0.0
0.439850900,45025,1920444.18,-73918.23,0.0
0.439872000,45016,1832736.75,-71262.46,0.0
