RX Date/Time,MAX30100/1 raw,MAX30100/2 filter,MAX30100/3 restrurt,MAX30100/4 BPM,beat_event
0.0,44981,247.4,137.16,0.0,0
0.0002925,44999,2093.31,1023.35,0.0,0
0.0003112,44976,8837.69,3739.01,0.0,0
0.0003239,44950,25450.02,9209.89,0.0,0
0.000336,44948,57410.35,17719.13,0.0,0
0.0274676,44939,109663.48,28969.79,0.0,0
0.0274865,44961,185996.25,42319.77,0.0,0
0.0275009,44966,288730.06,56956.59,0.0,0
0.027515,44979,418639.94,72022.72,0.0,0
0.0275296,44966,575029.25,86701.97,0.0,0
0.0275424,44953,755904.06,100275.05,0.0,0
0.0275555,44963,958204.81,112151.09,0.0,0
0.0275685,44972,1178064.19,121882.09,0.0,0
0.0720054,44973,1411068.13,129165.08,0.0,0
0.0720289,44976,1652502.87,133834.26,0.0,0
0.4373685,44949,1897576.61,135846.54,0.0,0
0.4373923,44979,2141609.31,135263.97,0.0,0
0.4374076,44967,2380188.47,132234.85,0.0,0
0.4374227,44970,2609290.79,126974.84,0.0,0
0.4389393,44953,2825370.19,119748.37,0.0,0
0.4389602,44958,3025414.68,110851.37,0.0,0
0.4389761,44969,3206976.09,100596.1,0.0,0
0.4389925,44954,3368176.77,89298.74,0.0,0
0.4390062,44980,3507697.13,77268.96,0.0,0
0.4390203,44958,3624747.27,64801.13,0.0,0
0.4390342,44977,3719026.74,52167.24,0.0,0
0.4390483,44963,3790675.59,39611.96,0.0,0
0.4390621,44977,3840220.03,27349.54,0.0,0
0.4390761,44974,3868515.3,15562.66,0.0,0
0.4390895,44957,3876688.09,4402.23,0.0,0
0.4391035,44994,3866079.94,-6012.47,0.0,0
0.4391171,44972,3838193.65,-15592.69,0.0,0
0.4391305,44988,3794643.71,-24277.39,0.0,0
0.439144,44983,3737110.85,-32030.28,0.0,0
0.4391585,44999,3667301.53,-38837.0,0.0,0
0.4391727,44984,3586912.73,-44726.06,0.0,0
0.4391888,44979,3497601.83,-49824.2,0.0,0
0.4392077,44986,3400961.37,-54351.98,0.0,0
0.4392267,44990,3298499.12,-58513.38,0.0,0
0.4392461,44998,3191623.3,-62410.44,0.0,0
0.4392646,44997,3081632.29,-66052.72,0.0,0
0.4392828,44991,2969707.85,-69395.46,0.0,0
0.4393011,44978,2856911.16,-72367.43,0.0,0
0.4393193,44985,2744181.61,-74890.86,0.0,0
0.439338,45014,2632338.45,-76894.37,0.0,0
0.4393566,44987,2522085.3,-78320.28,0.0,0
0.4393748,45008,2414016.05,-79129.02,0.0,0
0.4393938,45020,2308621.59,-79301.49,0.0,0
0.4394123,45016,2206297.38,-78838.9,0.0,0
0.4394306,45036,2107351.8,-77761.12,0.0,1
0.4398283,45018,2012014.46,-76104.37,0.0,0
0.4398509,45025,1920444.18,-73918.23,0.0,0
0.439872,45016,1832736.75,-71262.46,0.0,0
0.4398906,45020,1748932.55,-68203.99,0.0,0
0.4648813,45000,1669024.1,-64814.08,0.0,0
0.464903,45007,1592963.28,-61165.69,0.0,0
0.4868076,45016,1520668.19,-57330.58,0.0,0
0.4868325,45000,1452030.06,-53376.73,0.0,0
0.4869383,44961,1386919.2,-49367.4,0.0,0
0.4869542,44954,1325189.4,-45361.26,0.0,0
0.5075978,44950,1266681.72,-41411.35,0.0,0
0.5077194,44903,1211228.52,-37563.49,0.0,0
0.5294401,44888,1158657.16,-33856.14,0.0,0
0.5294612,44872,1108792.91,-30321.26,0.0,0
0.5501541,44875,1061461.9,-26984.22,0.0,0
0.5501759,44862,1016494.53,-23863.42,0.0,0
0.5908082,44877,973728.52,-20970.52,0.0,0
0.5908308,44865,933011.37,-18311.24,0.0,0
0.5931573,44879,894201.95,-15886.13,0.0,0
0.5931778,44854,857171.21,-13691.79,0.0,0
0.6112629,44864,821801.97,-11722.09,0.0,0
0.6112818,44865,787988.23,-9968.84,0.0,0
0.6328996,44844,755634.44,-8422.0,0.0,0
0.632921,44849,724654.62,-7070.12,0.0,0
0.6460175,44832,694971.11,-5900.55,0.0,0
0.6463507,44833,666513.41,-4899.41,0.0,0
0.6664077,44840,639217.42,-4052.05,0.0,0
0.6665477,44800,613024.82,-3343.67,0.0,0
0.6911847,44814,587882.19,-2759.67,0.0,0
0.691203,44820,563740.16,-2285.9,0.0,0
0.7089991,44804,540553.17,-1908.5,0.0,0
0.709018,44799,518279.53,-1614.05,0.0,0
0.7263886,44795,496880.79,-1390.28,0.0,0
0.7265274,44792,476321.13,-1226.38,0.0,0
0.746542,44796,456567.09,-1112.91,0.0,0
0.7466555,44781,437587.51,-1041.52,0.0,0
0.7735425,44794,419353.27,-1004.7,0.0,0
0.7735611,44807,401837.29,-995.55,0.0,0
0.7913102,44804,385014.76,-1007.32,0.0,0
0.7913297,44788,368863.23,-1033.9,0.0,0
0.8061118,44777,353361.76,-1070.51,0.0,0
0.8080556,44785,338489.79,-1113.88,0.0,0
0.8267216,44780,324226.52,-1161.69,0.0,0
0.8267413,44767,310551.06,-1211.65,0.0,0
0.8459529,44766,297442.33,-1261.31,0.0,0
0.8463387,44785,284879.13,-1308.52,0.0,0
0.8668097,44761,272840.45,-1351.59,0.0,0
0.8668304,44784,261306.01,-1389.13,0.0,0
0.8860229,44784,250256.41,-1419.82,0.0,0
0.8861139,44791,239673.54,-1442.19,0.0,0
0.9138375,44781,229540.69,-1455.03,0.0,0
0.9139018,44788,219842.31,-1458.11,0.0,0
0.9315901,44803,210563.55,-1452.12,0.0,0
0.9316099,44792,201690.27,-1437.84,0.0,0
0.9497011,44782,193208.91,-1415.97,0.0,0
0.9497205,44792,185105.91,-1387.68,0.0,0
0.9673285,44793,177367.27,-1354.66,0.0,0
0.967347,44778,169978.66,-1318.52,0.0,0
0.9860995,44789,162925.4,-1280.63,0.0,0
0.9864727,44802,156192.58,-1241.96,0.0,0
1.0140986,44800,149765.55,-1202.63,0.0,0
1.0144478,44801,143630.52,-1161.99,0.0,0
1.0320018,44809,137774.57,-1119.47,0.0,0
1.0320216,44803,132185.52,-1075.26,0.0,0
1.2779953,44805,126851.78,-1030.16,0.0,0
1.2780124,44805,121762.03,-985.07,0.0,0
1.2780256,44809,116905.12,-940.67,0.0,0
1.278038,44803,112270.01,-897.39,0.0,0
1.2780499,44801,107845.77,-855.54,0.0,0
1.2780616,44813,103621.47,-815.38,0.0,0
1.2780739,44801,99586.35,-777.04,0.0,0
1.2780856,44792,95729.87,-740.84,0.0,0
1.2780974,44809,92041.53,-707.77,0.0,0
1.2781091,44823,88511.11,-678.75,0.0,0
1.2781206,44803,85129.28,-653.58,0.0,0
1.2781326,44818,81887.93,-631.36,0.0,0
1.2781442,44839,78779.97,-611.04,0.0,0
1.2781563,44813,75799.49,-591.6,0.0,0
1.2781684,44819,72941.58,-572.5,0.0,0
1.2781812,44833,70201.76,-554.05,0.0,0
1.2781928,44834,67575.69,-536.68,0.0,0
1.2782047,44823,65059.46,-520.26,0.0,0
1.2782174,44826,62649.32,-504.31,0.0,0
1.2782291,44819,60341.28,-488.72,0.0,0
1.2782409,44832,58130.78,-484.07,0.0,0
1.278253,44840,56013.06,-546.17,0.0,0
1.2782647,44822,53983.52,-799.82,0.0,0
1.2782766,44829,52037.89,-1392.37,0.0,0
1.2905581,44814,50171.71,-2412.4,0.0,0
1.2905757,44816,48380.03,-3858.71,0.0,0
1.3155713,44811,46657.34,-5662.14,0.0,0
1.3155906,44820,44997.69,-7715.67,0.0,0
1.3326834,44832,43395.35,-9896.22,0.0,0
1.3327021,44826,41845.43,-12080.12,0.0,0
1.3494718,44829,40344.37,-14153.88,0.0,0
1.349491,44833,38889.73,-16020.88,0.0,0
1.3679349,44842,37480.07,-17604.61,0.0,0
1.3679596,44837,36114.84,-18849.64,0.0,0
1.3865749,44841,34794.26,-19721.38,0.0,0
1.386594,44857,33519.07,-20204.41,0.0,1
1.4139838,44850,32290.46,-20299.93,0.0,0
1.4143925,44862,31110.03,-20023.05,0.0,0
1.4271311,44843,29979.56,-19400.5,0.0,0
1.4271491,44857,28900.42,-18468.19,0.0,0
1.4461071,44864,27873.23,-17268.18,0.0,0
1.446593,44858,26898.0,-15845.56,0.0,0
1.4663861,44857,25974.3,-14246.58,0.0,0
1.4664645,44847,25101.04,-12517.54,0.0,0
1.4902962,44874,24276.24,-10703.25,0.0,0
1.4903139,44851,23497.27,-8845.35,0.0,0
1.508982,44818,22760.98,-6981.61,0.0,0
1.5090015,44797,22062.79,-5146.13,0.0,0
1.5265079,44792,21395.48,-3369.07,0.0,0
1.5265684,44766,20748.99,-1675.48,0.0,0
1.5463949,44748,20111.15,-84.63,0.0,0
1.5464907,44739,19468.33,1389.24,0.0,0
1.5736382,44754,18806.43,2736.28,0.0,0
1.5736579,44738,18112.49,3950.87,0.0,0
1.5914523,44747,17376.1,5031.23,0.0,0
1.5914723,44719,16590.14,5978.43,0.0,0
1.60608,44713,15750.48,6795.08,0.0,0
1.606257,44718,14855.47,7484.54,0.0,0
1.6261208,44734,13905.73,8051.15,0.0,0
1.6263375,44715,12904.63,8500.87,0.0,0
1.6464505,44716,11858.35,8841.11,0.0,0
1.6466138,44711,10775.14,9080.16,0.0,0
1.6668441,44699,9664.43,9226.87,0.0,0
1.6668628,44697,8536.1,9290.33,0.0,0
1.6862052,44680,7399.78,9279.53,0.0,0
1.6864075,44687,6264.32,9203.33,0.0,0
1.7126267,44674,5137.62,9070.94,0.0,0
1.7130515,44661,4026.6,8891.74,0.0,0
1.731737,44655,2937.02,8674.56,0.0,0
1.7317563,44651,1873.28,8427.19,0.0,0
1.7488631,44653,838.57,8156.27,0.0,0
1.7488862,44660,-164.53,7867.53,0.0,0
1.7673264,44643,-1133.51,7566.15,0.0,0
1.7864086,44670,-2065.57,7256.85,0.0,0
1.7865031,44638,-2957.57,6943.81,0.0,0
1.8140186,44653,-3806.16,6630.39,0.0,0
1.8142813,44653,-4608.09,6319.02,0.0,0
1.862228,44636,-5360.39,6011.46,0.0,0
1.8622472,44648,-6060.54,5708.66,0.0,0
1.8622598,44645,-6706.64,5411.29,0.0,0
1.8622716,44653,-7297.25,5120.61,0.0,0
1.8729456,44650,-7831.14,4838.56,0.0,0
1.872965,44672,-8307.08,4567.13,0.0,0
1.8861451,44647,-8723.66,4308.07,0.0,0
1.8864412,44652,-9079.55,4062.66,0.0,0
1.9092197,44645,-9374.15,3831.45,0.0,0
1.9092398,44667,-9607.99,3614.67,0.0,0
1.9263774,44658,-9782.37,3412.78,0.0,0
1.9264019,44660,-9898.88,3226.33,0.0,0
1.9464911,44637,-9959.52,3055.14,0.0,0
1.9465105,44639,-9967.29,2898.05,0.0,0
1.9733621,44642,-9926.64,2753.1,0.0,0
1.9733819,44643,-9843.19,2618.03,0.0,0
1.9907109,44645,-9723.06,2490.77,0.0,0
1.9907301,44643,-9572.25,2369.7,0.0,0
2.0060091,44636,-9396.4,2253.71,0.0,0
