IR,RED,beat_event
15548.0,7864.0,0
15551.0,7865.0,0
15572.0,7871.0,0
15595.0,7880.0,0
15611.0,7880.0,0
15613.0,7886.0,0
15605.0,7884.0,0
15583.0,7883.0,0
15560.0,7871.0,0
15536.0,7862.0,0
15518.0,7851.0,0
15492.0,7853.0,0
15455.0,7846.0,0
15400.0,7834.0,0
15351.0,7807.0,0
15350.0,7789.0,0
15308.0,7781.0,0
15279.0,7758.0,0
15271.0,7743.0,0
15227.0,7730.0,0
15185.0,7709.0,0
15148.0,7667.0,0
15101.0,7637.0,0
15059.0,7594.0,0
14988.0,7552.0,0
14919.0,7507.0,0
14757.0,7439.0,0
14535.0,7328.0,0
14130.0,7142.0,0
13563.0,6839.0,0
13060.0,6504.0,0
12691.0,6239.0,0
12340.0,6037.0,0
11971.0,5841.0,0
11596.0,5642.0,0
11239.0,5452.0,0
10928.0,5258.0,0
10670.0,5095.0,0
10454.0,4974.0,0
10249.0,4851.0,0
10071.0,4742.0,0
9864.0,4617.0,0
9673.0,4502.0,0
9500.0,4406.0,0
9328.0,4308.0,0
9166.0,4214.0,0
8820.0,4136.0,0
8688.0,4060.0,0
8613.0,3997.0,0
8550.0,3964.0,0
8485.0,3918.0,0
8421.0,3883.0,0
8371.0,3841.0,0
8336.0,3805.0,0
8306.0,3781.0,0
8248.0,3754.0,0
8231.0,3731.0,0
8196.0,3713.0,0
8143.0,3689.0,0
8116.0,3655.0,0
8104.0,3636.0,0
8079.0,3616.0,0
8063.0,3600.0,0
8061.0,3590.0,0
8086.0,3587.0,0
7841.0,3534.0,0
7716.0,3406.0,0
7827.0,3428.0,0
7590.0,3379.0,0
7136.0,3219.0,0
6725.0,3071.0,0
6354.0,2942.0,0
5961.0,2804.0,0
5614.0,2666.0,0
5553.0,2583.0,0
6095.0,2667.0,0
6504.0,2857.0,0
6591.0,2909.0,0
6902.0,3002.0,0
7388.0,3170.0,0
7880.0,3352.0,0
8210.0,3508.0,0
8362.0,3578.0,0
8484.0,3628.0,0
8755.0,3719.0,0
9295.0,3891.0,0
10042.0,4158.0,0
10877.0,4459.0,0
11507.0,4727.0,0
12158.0,4903.0,0
12576.0,5062.0,0
13177.0,5255.0,0
13676.0,5439.0,0
14216.0,5656.0,0
14667.0,5807.0,0
15250.0,6026.0,0
15856.0,6232.0,0
16824.0,6539.0,0
18249.0,7070.0,0
19589.0,7654.0,0
20906.0,8174.0,0
23008.0,8908.0,0
25543.0,9970.0,0
28217.0,11142.0,0
31403.0,12384.0,0
34570.0,14019.0,0
37551.0,15426.0,0
39813.0,16339.0,0
40811.0,16874.0,0
41530.0,17050.0,0
42983.0,17606.0,0
44370.0,18157.0,0
45983.0,18699.0,0
47379.0,19239.0,0
49519.0,20018.0,0
50974.0,20633.0,0
52886.0,21268.0,0
54916.0,22126.0,0
56589.0,22916.0,0
58441.0,23736.0,0
59887.0,24538.0,0
62317.0,25469.0,0
65535.0,26934.0,0
65535.0,28689.0,0
65535.0,30331.0,0
65535.0,31672.0,0
65535.0,33321.0,0
65535.0,35483.0,0
65535.0,37434.0,0
65535.0,39094.0,0
65535.0,39819.0,0
65535.0,40286.0,0
65535.0,40589.0,0
65535.0,40682.0,0
65535.0,40589.0,0
65535.0,40439.0,0
65535.0,40299.0,0
65535.0,40109.0,0
65535.0,39415.0,0
65535.0,37919.0,0
65535.0,35542.0,0
65535.0,32768.0,0
60197.0,27819.0,0
57344.0,24576.0,0
49152.0,20804.0,0
41117.0,18445.0,0
36972.0,16718.0,0
32954.0,15209.0,0
28350.0,13566.0,0
24704.0,12022.0,0
21870.0,10670.0,0
21702.0,10257.0,0
22396.0,10505.0,0
22708.0,10737.0,0
22212.0,10578.0,0
21704.0,10339.0,0
21111.0,10082.0,0
20531.0,9802.0,0
20514.0,9690.0,0
20761.0,9781.0,0
21098.0,9921.0,0
21435.0,10092.0,0
21674.0,10210.0,0
21868.0,10309.0,0
22179.0,10406.0,0
22853.0,10670.0,0
23816.0,11042.0,0
25097.0,11610.0,0
26361.0,12219.0,0
27955.0,12902.0,0
29871.0,13782.0,0
31057.0,14400.0,0
32507.0,15029.0,0
34417.0,15884.0,0
36626.0,16917.0,0
38838.0,17950.0,0
39369.0,18495.0,0
38041.0,18212.0,0
34933.0,16981.0,0
32768.0,15230.0,0
25689.0,13143.0,0
24576.0,11162.0,0
17581.0,9442.0,0
16384.0,8192.0,0
12684.0,6978.0,0
10694.0,6115.0,0
8560.0,5110.0,0
6446.0,4021.0,0
4867.0,3064.0,0
3674.0,2304.0,0
2885.0,1791.0,0
2419.0,1453.0,0
2101.0,1230.0,0
1772.0,1038.0,0
1470.0,875.0,0
1225.0,754.0,0
1054.0,670.0,0
957.0,601.0,0
879.0,564.0,0
818.0,531.0,0
764.0,497.0,0
724.0,471.0,0
685.0,464.0,0
650.0,442.0,0
624.0,437.0,0
604.0,418.0,0
598.0,411.0,0
581.0,396.0,0
574.0,396.0,0
566.0,391.0,0
561.0,390.0,0
570.0,383.0,0
571.0,382.0,0
583.0,375.0,0
581.0,370.0,0
598.0,381.0,0
604.0,372.0,0
614.0,373.0,0
624.0,369.0,0
629.0,359.0,0
646.0,361.0,0
668.0,365.0,0
678.0,377.0,0
707.0,376.0,0
724.0,380.0,0
750.0,393.0,0
778.0,400.0,0
812.0,408.0,0
840.0,426.0,0
873.0,437.0,0
907.0,461.0,0
945.0,478.0,0
988.0,500.0,0
1032.0,524.0,0
1084.0,552.0,0
1147.0,587.0,0
1206.0,627.0,0
1281.0,670.0,0
1377.0,732.0,0
1483.0,796.0,0
1596.0,862.0,0
1724.0,945.0,0
1866.0,1023.0,0
2025.0,1112.0,0
2198.0,1211.0,0
2395.0,1322.0,0
2618.0,1467.0,0
2877.0,1611.0,0
3149.0,1789.0,0
3446.0,1962.0,0
3755.0,2145.0,0
4086.0,2335.0,0
4398.0,2527.0,0
4718.0,2719.0,0
5020.0,2909.0,0
5336.0,3084.0,0
5630.0,3265.0,0
5956.0,3456.0,0
6321.0,3662.0,0
6801.0,3944.0,0
7452.0,4333.0,0
8298.0,4866.0,0
9425.0,5609.0,0
10925.0,6616.0,0
12907.0,7949.0,0
15588.0,9634.0,0
18799.0,11789.0,0
22304.0,14743.0,0
28690.0,18344.0,0
36518.0,22240.0,0
46948.0,29408.0,0
55035.0,37521.0,0
63203.0,46888.0,0
65535.0,55031.0,0
57344.0,49152.0,0
49152.0,40960.0,0
54766.0,39074.0,0
51777.0,39695.0,0
49152.0,35283.0,0
43451.0,33256.0,0
44704.0,33323.0,0
45463.0,34065.0,0
45080.0,34097.0,0
44172.0,33683.0,0
41539.0,32850.0,0
35270.0,28718.0,0
34753.0,27470.0,0
34853.0,27368.0,0
34998.0,27448.0,0
35141.0,27525.0,0
35196.0,27618.0,0
35221.0,27628.0,0
35342.0,27620.0,0
35497.0,27707.0,0
35655.0,27831.0,0
35709.0,27853.0,0
35736.0,27810.0,0
35826.0,27780.0,0
35923.0,27714.0,0
35969.0,27621.0,0
35977.0,27512.0,0
36019.0,27474.0,0
36032.0,27458.0,0
36042.0,27483.0,0
36051.0,27482.0,0
36111.0,27478.0,0
36235.0,27472.0,0
36353.0,27498.0,0
36477.0,27541.0,0
36617.0,27632.0,0
36757.0,27742.0,0
36872.0,27838.0,0
36968.0,27877.0,0
37032.0,27925.0,0
37059.0,27931.0,0
37049.0,27924.0,0
37031.0,27863.0,0
37022.0,27806.0,0
36990.0,27745.0,0
36993.0,27634.0,0
37018.0,27592.0,0
37097.0,27588.0,0
37199.0,27643.0,0
37394.0,27754.0,0
37614.0,27916.0,0
37770.0,28026.0,0
37868.0,28061.0,0
37862.0,28038.0,0
37842.0,28021.0,0
37812.0,28014.0,0
37781.0,28000.0,0
37734.0,27960.0,0
37651.0,27894.0,0
37572.0,27813.0,0
37481.0,27720.0,0
37398.0,27616.0,0
37322.0,27568.0,0
37274.0,27518.0,0
37242.0,27492.0,0
37216.0,27465.0,0
37195.0,27446.0,0
37189.0,27416.0,0
37155.0,27404.0,0
37144.0,27386.0,0
37156.0,27380.0,0
37150.0,27383.0,0
37153.0,27376.0,0
37142.0,27357.0,0
37141.0,27330.0,0
37123.0,27320.0,0
37107.0,27297.0,0
37098.0,27302.0,0
37099.0,27297.0,0
37080.0,27290.0,0
37081.0,27272.0,0
37074.0,27276.0,0
37068.0,27280.0,0
37068.0,27287.0,0
37080.0,27300.0,0
37071.0,27318.0,0
37101.0,27321.0,0
37089.0,27330.0,0
37115.0,27356.0,0
37096.0,27353.0,0
37099.0,27353.0,0
37062.0,27323.0,0
37024.0,27282.0,0
37008.0,27238.0,0
36966.0,27194.0,0
36928.0,27153.0,0
36926.0,27128.0,0
36889.0,27105.0,0
36860.0,27083.0,0
36843.0,27032.0,0
36823.0,27000.0,0
36798.0,26973.0,0
36790.0,26962.0,0
36775.0,26967.0,0
36766.0,26953.0,0
36730.0,26929.0,0
36721.0,26939.0,0
36709.0,26934.0,0
36718.0,26930.0,0
36715.0,26927.0,0
36720.0,26931.0,0
36711.0,26938.0,0
36710.0,26931.0,0
36665.0,26906.0,0
36645.0,26876.0,0
36616.0,26855.0,0
36579.0,26816.0,0
36544.0,26776.0,0
36514.0,26732.0,0
36465.0,26701.0,0
36436.0,26693.0,0
36451.0,26695.0,0
36485.0,26700.0,0
36519.0,26757.0,0
36574.0,26799.0,0
36608.0,26837.0,0
36634.0,26885.0,0
36625.0,26885.0,0
36574.0,26855.0,0
36510.0,26790.0,0
36434.0,26723.0,0
36388.0,26655.0,0
36342.0,26597.0,0
36313.0,26561.0,0
36295.0,26525.0,0
36269.0,26495.0,0
36242.0,26486.0,0
36241.0,26456.0,0
36220.0,26432.0,0
36208.0,26419.0,0
36184.0,26379.0,0
36161.0,26353.0,0
36132.0,26332.0,0
36137.0,26300.0,0
36128.0,26291.0,0
36116.0,26276.0,0
36098.0,26259.0,0
36091.0,26249.0,0
36098.0,26255.0,0
36095.0,26264.0,0
36113.0,26256.0,0
36094.0,26273.0,0
36088.0,26264.0,0
36089.0,26277.0,0
36075.0,26272.0,0
36053.0,26248.0,0
36035.0,26237.0,0
