IR,RED,beat_event
55617.0,61773.0,0
55603.0,61793.0,0
55598.0,61789.0,0
55623.0,61793.0,0
55613.0,61790.0,0
55619.0,61792.0,0
55612.0,61791.0,0
55627.0,61813.0,0
55618.0,61788.0,0
55620.0,61803.0,0
55611.0,61810.0,0
55624.0,61794.0,0
55612.0,61817.0,0
55629.0,61810.0,0
55603.0,61782.0,0
55614.0,61797.0,0
55619.0,61795.0,0
55629.0,61805.0,0
55617.0,61804.0,0
55615.0,61814.0,0
55624.0,61804.0,0
55642.0,61813.0,0
55635.0,61803.0,0
55628.0,61803.0,0
55634.0,61835.0,0
55635.0,61826.0,0
55640.0,61826.0,0
55644.0,61830.0,0
55627.0,61828.0,0
55638.0,61818.0,0
55645.0,61805.0,0
55637.0,61827.0,0
55632.0,61818.0,0
55637.0,61830.0,0
55636.0,61819.0,0
55649.0,61836.0,0
55650.0,61813.0,0
55634.0,61815.0,0
55636.0,61793.0,0
55645.0,61809.0,0
55646.0,61808.0,0
55640.0,61806.0,0
55655.0,61823.0,0
55664.0,61844.0,0
55649.0,61826.0,0
55644.0,61829.0,0
55642.0,61846.0,0
55657.0,61823.0,0
55646.0,61821.0,0
55649.0,61829.0,0
55628.0,61835.0,0
55648.0,61815.0,0
55659.0,61820.0,0
55657.0,61808.0,0
55670.0,61814.0,0
55655.0,61826.0,0
55670.0,61813.0,0
55673.0,61806.0,0
55656.0,61808.0,0
55665.0,61787.0,0
55660.0,61799.0,0
55660.0,61823.0,0
55659.0,61813.0,0
55673.0,61813.0,0
55648.0,61815.0,0
55652.0,61813.0,0
55663.0,61829.0,0
55671.0,61836.0,0
55653.0,61802.0,0
55667.0,61817.0,0
55666.0,61837.0,0
55641.0,61821.0,0
55644.0,61815.0,0
55647.0,61817.0,0
55649.0,61845.0,0
55664.0,61832.0,0
55652.0,61822.0,0
55683.0,61838.0,0
55669.0,61846.0,0
55676.0,61844.0,0
55672.0,61836.0,0
55668.0,61832.0,0
55669.0,61871.0,0
55695.0,61849.0,0
55680.0,61861.0,0
55677.0,61838.0,0
55661.0,61852.0,0
55671.0,61846.0,0
55683.0,61844.0,0
55685.0,61853.0,0
55686.0,61859.0,0
55679.0,61856.0,0
55673.0,61839.0,0
55667.0,61841.0,0
55681.0,61863.0,0
55666.0,61878.0,0
55676.0,61850.0,0
55667.0,61844.0,0
55687.0,61867.0,0
55673.0,61854.0,0
55688.0,61863.0,0
55693.0,61864.0,0
55685.0,61856.0,0
55679.0,61855.0,0
55682.0,61874.0,0
55682.0,61854.0,0
55688.0,61868.0,0
55704.0,61844.0,0
55689.0,61846.0,0
55703.0,61873.0,0
55677.0,61850.0,0
55684.0,61873.0,0
55695.0,61860.0,0
55680.0,61859.0,0
55696.0,61858.0,0
55698.0,61848.0,0
55690.0,61861.0,0
55677.0,61857.0,0
55686.0,61859.0,0
55687.0,61873.0,0
55689.0,61849.0,0
55686.0,61865.0,0
55696.0,61841.0,0
55694.0,61852.0,0
55702.0,61866.0,0
55690.0,61877.0,0
55704.0,61858.0,0
55714.0,61856.0,0
55701.0,61863.0,0
55705.0,61877.0,0
55712.0,61875.0,0
55711.0,61878.0,0
55711.0,61861.0,0
55701.0,61875.0,0
55714.0,61873.0,0
55717.0,61899.0,0
55693.0,61881.0,0
55724.0,61877.0,0
55705.0,61873.0,0
55708.0,61888.0,0
55733.0,61888.0,0
55718.0,61891.0,0
55738.0,61875.0,0
55736.0,61886.0,0
55697.0,61877.0,0
55728.0,61872.0,0
55715.0,61885.0,0
55736.0,61870.0,0
55724.0,61892.0,0
55755.0,61879.0,0
55732.0,61883.0,0
55718.0,61900.0,0
55721.0,61906.0,0
55747.0,61893.0,0
55740.0,61907.0,0
55714.0,61887.0,0
55727.0,61891.0,0
55727.0,61874.0,0
55744.0,61886.0,0
55736.0,61867.0,0
55749.0,61891.0,0
55730.0,61902.0,0
55714.0,61877.0,0
55723.0,61887.0,0
55753.0,61903.0,0
55753.0,61909.0,0
55737.0,61894.0,0
55731.0,61900.0,0
55753.0,61922.0,0
55746.0,61907.0,0
55729.0,61899.0,0
55729.0,61908.0,0
55728.0,61891.0,0
55712.0,61901.0,0
55729.0,61876.0,0
55739.0,61904.0,0
55731.0,61899.0,0
55712.0,61914.0,0
55743.0,61920.0,0
55735.0,61919.0,0
55730.0,61910.0,0
55731.0,61918.0,0
55736.0,61910.0,0
55742.0,61921.0,0
55725.0,61911.0,0
55736.0,61921.0,0
55730.0,61897.0,0
55721.0,61893.0,0
55735.0,61915.0,0
55732.0,61917.0,0
55724.0,61912.0,0
55742.0,61910.0,0
55737.0,61917.0,0
55725.0,61894.0,0
55735.0,61906.0,0
55734.0,61919.0,0
55739.0,61904.0,0
55749.0,61913.0,0
55713.0,61911.0,0
55731.0,61901.0,0
55755.0,61926.0,0
55746.0,61916.0,0
55756.0,61928.0,0
55737.0,61927.0,0
55741.0,61892.0,0
55735.0,61917.0,0
55739.0,61902.0,0
55732.0,61917.0,0
55758.0,61903.0,0
55754.0,61892.0,0
55749.0,61891.0,0
55764.0,61914.0,0
55757.0,61892.0,0
55757.0,61912.0,0
55751.0,61920.0,0
55773.0,61925.0,0
55768.0,61916.0,0
55758.0,61914.0,0
55753.0,61928.0,0
55750.0,61920.0,0
55751.0,61935.0,0
55750.0,61924.0,0
55741.0,61919.0,0
55741.0,61905.0,0
55737.0,61912.0,0
55761.0,61911.0,0
55735.0,61902.0,0
55761.0,61908.0,0
55764.0,61905.0,0
55762.0,61925.0,0
55746.0,61916.0,0
55767.0,61915.0,0
55742.0,61943.0,0
55768.0,61934.0,0
55750.0,61931.0,0
55762.0,61925.0,0
55755.0,61932.0,0
55767.0,61929.0,0
55771.0,61919.0,0
55772.0,61924.0,0
55765.0,61932.0,0
55754.0,61920.0,0
55778.0,61908.0,0
55780.0,61930.0,0
55780.0,61936.0,0
55782.0,61949.0,0
55782.0,61928.0,0
55776.0,61937.0,0
55781.0,61942.0,0
55761.0,61926.0,0
55767.0,61923.0,0
55788.0,61941.0,0
55781.0,61928.0,0
55786.0,61938.0,0
55789.0,61931.0,0
55778.0,61942.0,0
55790.0,61943.0,0
55803.0,61962.0,0
55796.0,61936.0,0
55783.0,61955.0,0
55791.0,61941.0,0
55785.0,61923.0,0
55798.0,61943.0,0
55808.0,61953.0,0
55798.0,61950.0,0
55807.0,61949.0,0
55806.0,61945.0,0
55801.0,61936.0,0
55787.0,61954.0,0
55789.0,61950.0,0
55819.0,61917.0,0
55803.0,61930.0,0
55817.0,61908.0,0
55807.0,61931.0,0
55796.0,61924.0,0
55816.0,61924.0,0
55820.0,61920.0,0
55798.0,61939.0,0
55790.0,61939.0,0
55794.0,61947.0,0
55817.0,61925.0,0
55817.0,61948.0,0
55805.0,61959.0,0
55811.0,61933.0,0
55810.0,61949.0,0
55831.0,61949.0,0
55833.0,61967.0,0
55820.0,61947.0,0
55821.0,61948.0,0
55825.0,61974.0,0
55821.0,61940.0,0
55817.0,61944.0,0
55851.0,61945.0,0
55831.0,61955.0,0
55836.0,61939.0,0
55841.0,61935.0,0
55838.0,61946.0,0
55823.0,61953.0,0
55827.0,61953.0,0
55808.0,61945.0,0
55808.0,61948.0,0
55816.0,61968.0,0
55802.0,61958.0,0
55825.0,61962.0,0
55829.0,61959.0,0
55835.0,61954.0,0
55814.0,61968.0,0
55850.0,61954.0,0
55836.0,61957.0,0
55843.0,61965.0,0
55833.0,61957.0,0
55838.0,61941.0,0
55827.0,61962.0,0
55836.0,61969.0,0
55828.0,61977.0,0
55853.0,61976.0,0
55828.0,61960.0,0
55810.0,61946.0,0
55833.0,61974.0,0
55828.0,61967.0,0
55825.0,61959.0,0
55825.0,61952.0,0
55824.0,61964.0,0
55831.0,61971.0,0
55829.0,61992.0,0
55827.0,61985.0,0
55841.0,61989.0,0
55830.0,61994.0,0
55813.0,61979.0,0
55822.0,61974.0,0
55848.0,61972.0,0
55830.0,61974.0,0
55842.0,61982.0,0
55837.0,61989.0,0
55832.0,61989.0,0
55832.0,61983.0,0
55842.0,61969.0,0
55835.0,61992.0,0
55841.0,61986.0,0
55842.0,61971.0,0
55863.0,62006.0,0
55848.0,61987.0,0
55848.0,62001.0,0
55827.0,61992.0,0
55849.0,61980.0,0
55822.0,61985.0,0
55831.0,61982.0,0
55816.0,61981.0,0
55852.0,61989.0,0
55840.0,61985.0,0
55852.0,62009.0,0
55847.0,62005.0,0
55851.0,61989.0,0
55841.0,61988.0,0
55849.0,62006.0,0
55846.0,61988.0,0
55848.0,61996.0,0
55846.0,62008.0,0
55842.0,61989.0,0
55840.0,61982.0,0
55861.0,62015.0,0
55838.0,61990.0,0
55847.0,62005.0,0
55828.0,61995.0,0
55842.0,62025.0,0
55861.0,62014.0,0
55854.0,62010.0,0
55844.0,62000.0,0
55844.0,62011.0,0
55840.0,61986.0,0
55848.0,61998.0,0
55826.0,62017.0,0
55851.0,61999.0,0
55852.0,61998.0,0
55840.0,62010.0,0
55829.0,61985.0,0
55847.0,61998.0,0
55840.0,61984.0,0
55846.0,62011.0,0
55869.0,61995.0,0
55853.0,62001.0,0
55854.0,61996.0,0
55866.0,62013.0,0
55862.0,61999.0,0
55877.0,62009.0,0
55855.0,62005.0,0
55860.0,62008.0,0
55868.0,61993.0,0
55852.0,62003.0,0
55856.0,62002.0,0
55844.0,62002.0,0
55858.0,61991.0,0
55856.0,62010.0,0
55873.0,61993.0,0
55857.0,61999.0,0
55849.0,61994.0,0
55865.0,61984.0,0
55856.0,61996.0,0
55878.0,62001.0,0
55871.0,62009.0,0
55874.0,61999.0,0
55871.0,62013.0,0
55859.0,62006.0,0
55850.0,62037.0,0
55870.0,62017.0,0
55863.0,61998.0,0
55899.0,62028.0,0
55906.0,62037.0,0
55877.0,62048.0,0
55820.0,62024.0,0
55853.0,62015.0,0
55874.0,62031.0,0
55917.0,62034.0,0
55885.0,62017.0,0
55858.0,62017.0,0
55869.0,62010.0,0
55874.0,62017.0,0
55873.0,61994.0,0
56032.0,62115.0,0
56600.0,62461.0,0
57494.0,63085.0,0
58725.0,64131.0,0
60347.0,65535.0,0
61499.0,65535.0,0
62737.0,65535.0,0
63478.0,65535.0,0
63869.0,65535.0,0
63815.0,65535.0,0
64231.0,65535.0,0
65535.0,65535.0,0
65535.0,65535.0,0
60130.0,64794.0,0
62442.0,64033.0,0
59256.0,63978.0,0
60347.0,64074.0,0
59108.0,64060.0,0
58649.0,65302.0,0
59946.0,63913.0,0
60636.0,64867.0,0
58788.0,63985.0,0
60221.0,64765.0,0
58183.0,63147.0,0
60154.0,65417.0,0
63230.0,65535.0,0
65404.0,65535.0,0
65535.0,65535.0,0
65535.0,65535.0,0
65535.0,65535.0,0
61313.0,65535.0,0
57344.0,59999.0,0
49152.0,57344.0,0
40960.0,49152.0,0
32768.0,40960.0,0
24576.0,32768.0,0
16384.0,24576.0,0
8192.0,16384.0,0
5941.0,8313.0,0
4823.0,6510.0,0
4045.0,5350.0,0
3506.0,4520.0,0
3108.0,3920.0,0
2796.0,3447.0,0
2520.0,3062.0,0
2282.0,2746.0,0
2103.0,2501.0,0
1950.0,2322.0,0
1835.0,2209.0,0
1751.0,2106.0,0
1670.0,2032.0,0
1594.0,1944.0,0
1519.0,1859.0,0
1438.0,1772.0,0
1356.0,1680.0,0
1273.0,1594.0,0
1192.0,1505.0,0
1114.0,1418.0,0
1043.0,1321.0,0
969.0,1224.0,0
903.0,1130.0,0
858.0,1034.0,0
811.0,955.0,0
768.0,899.0,0
736.0,841.0,0
705.0,796.0,0
675.0,761.0,0
653.0,734.0,0
639.0,718.0,0
630.0,717.0,0
626.0,722.0,0
628.0,733.0,0
633.0,740.0,0
647.0,751.0,0
640.0,761.0,0
659.0,770.0,0
658.0,778.0,0
650.0,774.0,0
639.0,751.0,0
608.0,723.0,0
581.0,683.0,0
556.0,660.0,0
528.0,610.0,0
503.0,571.0,0
485.0,542.0,0
562.0,500.0,0
544.0,471.0,0
531.0,450.0,0
515.0,429.0,0
503.0,425.0,0
501.0,421.0,0
499.0,415.0,0
509.0,425.0,0
520.0,434.0,0
539.0,463.0,0
570.0,499.0,0
612.0,548.0,0
644.0,587.0,0
686.0,633.0,0
706.0,671.0,0
731.0,708.0,0
725.0,710.0,0
727.0,706.0,0
703.0,695.0,0
689.0,667.0,0
676.0,628.0,0
656.0,601.0,0
630.0,572.0,0
608.0,547.0,0
597.0,518.0,0
588.0,510.0,0
578.0,503.0,0
576.0,495.0,0
571.0,499.0,0
588.0,511.0,0
608.0,539.0,0
